지역,이름,사업자,소재지,면적,홀,구분
경북,힐스카이CC,힐스카이,경상북도 경주시 천북면 천강로 412-299,1816593,24,대중제
경북,애플밸리CC,에스엠하이플러스,경상북도 김천시 어모면 작점로 606,486519,9,대중제
경북,포도CC,다옴,경상북도 김천시 구성면 남김천대로 2532,774060,27,대중제
경북,남안동CC,디아이개발,경상북도 안동시 일직면 풍일로 1887,1046500,18,회원제
경북,안동리버힐CC,오이코스산업,경상북도 안동시 풍천면 풍일로 1572,1017714,18,회원제
경북,안동레이크골프클럽,경북문화관광공사,경상북도 안동시 관광단지로 316,982527,18,대중제
경북,골프존카운티 선산,지씨선산,경상북도 구미시 산동면 강동로 953-73,977678,18,회원제
경북,골프존카운티 구미,지씨구미,경상북도 구미시 산동면 강동로 953-74,541702,18,대중제
경북,구미CC,신구미개발,경상북도 구미시 장천면 송백로 229,1205829,27,대중제
경북,오펠GC,부성개발,경상북도 영천시 고경면 호국로 1221-24,1311521,27,회원제
경북,영천CC,임고개발,경상북도 영천시 임고면 방목길 34-2,1332592,27,회원제
경북,시엘GC,금호개발,경상북도 영천시 청통면 청통로 334-41,186373,9,대중제
경북,청통골프장,골프존카운티영천,경상북도 영천시 청통면 청통로 733,724398,18,대중제
경북,블루원상주골프리조트,블루원,경상북도 상주시 모서면 화현3길 127,1038679,18,대중제
경북,뉴스프링빌Ⅱ,동승레저,경상북도 상주시 모서면 백화로 40,1081418,18,대중제
경북,문경레저타운골프장,문경레저타운,경상북도 문경시 마성면 문경골프장길 240,1022039,18,대중제
경북,대구CC,경산개발,경상북도 경산시 진량읍 일연로 718-42,1080303,27,회원제
경북,인터불고컨트리클럽,인터불고컨트리클럽,경상북도 경산시 삼성현로 614-26,1695525,27,회원제
경북,엠스클럽의성,바이오컨트리클럽,경상북도 의성군 봉양면 농공마전길 125-78,957974,18,대중제
경북,파라지오CC,파라지오,경상북도 의성군 봉양면 농공마전길 167,972560,18,대중제
경북,오션비치CC,오션비치,경상북도 영덕군 강구면 동해대로 4265-43,1410518,27,대중제
경북,그레이스CC,태왕아너스,경상북도 청도군 이서면 서녁길 91,1465851,27,회원제
경북,오션힐스청도GC,유창개발,경상북도 청도군 매전면 곰티로 370-204,804257,18,대중제
경북,펜타뷰골프클럽,아리유,경상북도 청도군 금천면 금천로 709,249315,9,대중제
경북,유니밸리CC,고령컨트리클럽,경상북도 고령군 고령읍 일량로 588,385623,9,대중제
